Date	Time	Latitude(N)	Longitude(E)
2011-08-30	19:00	 60.76100	  25.07933
2011-08-30	21:00	 60.76083	  25.07950
2011-08-31	03:00	 60.76083	  25.07967
2011-08-31	05:00	 60.76100	  25.07950
2011-08-31	07:00	 60.76050	  25.07867
2011-08-31	11:00	 60.71333	  25.31550
2011-08-31	15:00	 60.74367	  25.99133
2011-08-31	17:00	 60.71567	  26.07267
2011-08-31	19:00	 60.71533	  26.07250
2011-08-31	21:00	 60.71550	  26.07300
2011-09-01	06:00	 60.71700	  26.07217
2011-09-01	10:00	 60.33850	  27.36617
2011-09-01	14:00	 59.86767	  29.36883
2011-09-01	18:00	 59.86883	  29.36683
2011-09-02	06:00	 59.86683	  29.37200
2011-09-02	10:00	 59.52933	  29.47600
2011-09-02	14:00	 58.60983	  30.23867
2011-09-02	18:00	 58.47883	  30.23200
2011-09-03	06:00	 58.47767	  30.23117
2011-09-03	10:00	 57.76333	  30.60017
2011-09-03	14:00	 56.49917	  31.30817
2011-09-03	18:00	 56.20367	  31.41617
2011-09-04	06:00	 56.20417	  31.41767
2011-09-04	10:00	 55.89850	  31.30917
2011-09-04	14:00	 54.62833	  31.70917
2011-09-04	18:00	 54.14000	  31.62767
2011-09-05	06:00	 54.13967	  31.62550
2011-09-05	10:00	 53.06367	  31.40167
2011-09-05	14:00	 51.36667	  31.46983
2011-09-05	18:00	 50.95833	  31.35867
2011-09-06	06:00	 50.95850	  31.35250
2011-09-06	10:00	 50.17467	  31.00850
2011-09-06	18:00	 48.52167	  30.61983
2011-09-06	22:00	 48.52650	  30.59450
2011-09-07	06:00	 48.53200	  30.60783
2011-09-07	10:00	 47.86417	  30.58617
2011-09-07	18:00	 46.55950	  30.23950
2011-09-07	22:00	 46.55633	  30.23650
2011-09-08	06:00	 46.55550	  30.24383
2011-09-08	10:00	 45.82933	  29.56717
2011-09-08	18:00	 44.42050	  28.11283
2011-09-08	22:00	 44.41917	  28.11750
2011-09-09	06:00	 44.42050	  28.11283
2011-09-09	10:00	 43.36900	  28.44233
2011-09-09	18:00	 42.70300	  27.89367
2011-09-09	22:00	 42.70300	  27.89350
2011-09-10	06:00	 42.17100	  27.74700
2011-09-10	10:00	 40.85583	  27.15583
2011-09-10	18:00	 38.55917	  27.11800
